NOM_ETABL,NbreAnnexe,Adresse,Ville,TEL_ETAB,FAX_ETAB,email,Région,Province,Commune
Fallah,,"N° 140, Bd. Moulay Rachid, Val Flory - C.U. Tanger",Tanger Assilah,___-__-__-__,___-__-__-__,,Tanger - Tetouan,Tanger Assilah,Tanger_Medina (AR)
aliskandaria ,0,"N° 114, Bd. Tarik Ibn Ziad, Idrissia - C.U. Charf",Tanger,0539951955,,,Tanger - Tetouan,Tanger Assilah,Charf_Mghogha (AR)
Choualat Arrif,0,"Lotissement Al Amira -PLACE N°2 _ N°/ 25  , Fnidq",FNIDEQ,039677874,039675547,choualaterif@menara.ma,Tanger - Tetouan,M'diq Fnidaq,Fnidq (M)
Abou Al Kacem,0,Quartier M habbech 1 - C.U. Tetouan,Tetouan,0539970553,0539970553,,Tanger - Tetouan,Tetouan,Tetouan (M)
Tafaouk 1,3,"N° 130, Quartier Al Wifak, Sidi Said",MEKNES,0535559519,0535460207,nomag1@yahoo.fr,Meknès - Tafilalet,Meknes,Al Ismailia (M)
alouloum manare institu,2,avenu alkayad n 78 mansour Mechra Bel Ksiri,Mechra Bel Ksiri,037-43-83-75,___-__-__-__,,Gharb - Chrarda - Beni Hssen,Sidi Kacem,Mechra Bel Ksiri (M)
Araed,2,"Rue Elaadir, Lot. Ikram, Av. Abdellah Guenoun, N° 21",Ouezzane,037-90-90-10,___-__-__-__,Admi-Araid@hotmail.fr,Tanger - Tetouan,Ouezzane,Ouezzane (M)
Al Irfane,1,"Hay Azghar, N° 22 - C.U. Sidi Kacem",Sidi Kacem,037-59-47-67,___-__-__-__,"airfanesk@hotmail,com",Gharb - Chrarda - Beni Hssen,Sidi Kacem,Sidi kacem (M)
Al Abrar,0,      17 Av. Alhouria Tissir1, Berrechid,0526998413,___-__-__-__,"alabrare_3@hotmail,com",Chaouia - Ourdigha,Berrechid,Berrechid (M)
Al jil al jadid,0,LOT khadija2  N° 7 ,Deroua,0522532548,,eljaileljadid@YAHOO.fr,Chaouia - Ourdigha,Berrechid,Deroua (M)
Al Gisr,0, Route Ain Sayarni, Berrechid,022-32-44-60,022337388,ecolelepont@gmail.com,Chaouia - Ourdigha,Berrechid,Berrechid (M)
ecole Tissir,0," rue nazik malaika,n° 10 -quartier Tissir ii", Berrechid,0522533205,___-__-__-__,tissirsalim@gmail.com,Chaouia - Ourdigha,Berrechid,Berrechid (M)
Al Oula,0, Bd Mansour Dahbi Smaala, Settat,023402116,___-__-__-_,institut.aloula@hotmail.com,Chaouia - Ourdigha,Settat,Settat (M)
Ecole Amine,0, Centre Ouled Said, Ouled Said,0523402840,___-__-__-__,institut-amine@hotmile.com,Chaouia - Ourdigha,Berrechid,Deroua (M)
Salah Eddine,0,B.V ABDELKHALEK TOURIS TAZA HAUT,TAZA,055-27-10-20,___-__-__-__,salahdinetaza@hotmail.fr,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
DENIS DUMONT,0, 32 AVENUE  HIZAM LKABIR,GUERCIF,0535675404__,___-__-__-__,,Taza  - Al Hoceima - Taounate,Guercif,Guercif (M)
IBN EL HAITAM,0,AV. 2 Mars Hay My Rachid,Laayoune,028-89-11-49,___-__-__-__,stouf15@hotmail.com,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
 OUM ESSAAD,2,38 Bd.  Oum Essaad Hay Essaada,Laayoune,028-89-02-84,___-__-__-__,oumessaad-annexe@hotmail.com,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
Al Andalib II,0,"N° 47, Rue Er-razi, Quartier Saada - C.U. Maknassat Azzaytoun",Meknès,035-45-21-25,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
ETABLISSEMENT AL HIDAYA,,QUARTIER ESSALAM,Dakhla,016450969,___-__-__-__,,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
ETABLISSEMENT SIJILMASSA,0,QUARTIER MY RACHID N° 585,Dakhla,0528930816,___-__-__-__,fatimaqjane@hotmail.com,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
ETABLISSEMENT JIL ALGHAD,,"QUARTIET ESSALAM, N°974",Dakhla,070492864,___-__-__-__,,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
ETABLISSEMENT LANSARI,,QUARTIER ESSALAM  N° 1735,Dakhla,071328182,___-__-__-__,,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
El Kaoutar,,Hay El Kassam N° 91 - C.U. Dakhla,Dakhla,___-__-__-__,___-__-__-__,,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
Chaimaa,,Hay Essalam - C.U. Dakhla,Dakhla,___-__-__-__,___-__-__-__,,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
El Ouafa,0,N° 526 Lot. El Wafaa - Deroua Nouaceur,Deroua,070563794,___-__-__-__,WAFAAECOLE@2009HOTMAIL.FR,Chaouia - Ourdigha,Berrechid,Deroua (M)
El Hidaya,0,"N° H 269, Lot. El Wafa - Deroua",Deroua,022532881,___-__-__-__,gs.alhidaya  gmail.com,Chaouia - Ourdigha,Berrechid,Deroua (M)
El Ferdaous,,"Lot. Bakhoucha, Rue Ahfir 39 - Guercif",Guercif,035-67-58-87,___-__-__-__,,Taza  - Al Hoceima - Taounate,Guercif,Guercif (M)
El Falah 2,,"Lot. Al Jairime, N° 10 - C.U. TAza El Jadida",Taza,035-28-55-02,035-28-55-02,,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
Ecole Meriam Privée,0,Quartier Administratif- C.U. Ouled Teima,Taroudant,028-52-83-05,028528305,instutabdoun@menara.ma,Sous - Massa - Draa,Taroudant,Ouled Teima (M)
El Irfan,,Hay Ksikisat N° 16 - C.U. Dakhla,Dakhla,064-44-58-34,___-__-__-__,,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
ETABLISSEMENT AL AKHAWAYNE,,"QUARTIER ASSALAM, N°376",Dakhla,061-84-38-67,___-__-__-__,,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
ETABLISSEMENT OUKHTLBANINE,,QUARTIER EL MASSIRA 1,Dakhla,062-65-36-90,___-__-__-__,,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
Al Jabr,,"Boulevard Moulay Hicham, Route d'Imouzzer - C.U. Agdal",FES,035-64-10-12,035-64-09-96,,Fès - Boulmane,Fès,Agdal (AR)
Groupe Scolaire Mohamed Al Fatih,0,110 LOT HAJOUI DOUKKARAT,FES,035651459,035651455,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Saiss (AR)
Groupe Scolaire Zerhoun,,"Lot. Al Amal, Route Sidi Hrazem - C.U. Saiss",FES,035-61-49-77,___-__-__-__,,Fès - Boulmane,Fès,Saiss (AR)
Groupe Scolaire Fontaine,0,"41 Boulevard Ibn El Khatib, Route d Imouzzer - C.U. Adgal",FES,0535659667,0535659667,CLAIREFONTAINE@MENARA.MA,Fès - Boulmane,Fès,Agdal (AR)
PYTHAGORE PREPAS,0,72 ANGLE BD NABLOUSE ET ROUTE SIDI MAAFA,OUJDA,0536502244,036-50-22-44,pythagoreprepas@yahoo.fr,l'Oriental,Oujda Angad,Oujda (M)
JABER BNOU HAYYAN,0,"ROUTE AIN BNI MATHAR, HAY ESSALAM -",OUJDA,0536517822,___-__-__-__,,l'Oriental,Oujda Angad,Oujda (M)
MIRI,0,BD. ABDERRAHIM BOUABID -,OUJDA,0536500153,___-__-__-__,,l'Oriental,Oujda Angad,Oujda (M)
EL HAKIM,0,"BD. ARRAHMA, HAY EL HIKMA -",OUJDA,0536504660,___-__-__-__,,l'Oriental,Oujda Angad,Oujda (M)
EL BADIA,0,5 RUE MOUHA OUHAMOU -,OUJDA,0536690500,___-__-__-__,,l'Oriental,Oujda Angad,Oujda (M)
ANNEXE SINANE,0,HAY KOULOUCH N° 12 BD 9-,OUJDA,,___-__-__-__,,l'Oriental,Oujda Angad,Oujda (M)
RIHAB,0,"N° 88  RUE 4, DHAR LAMHALLA -",OUJDA,0536749497,___-__-__-__,,l'Oriental,Oujda Angad,Oujda (M)
GHOSNE EZZAITOUN,0,"N° 23, RUE TINDOUF -",OUJDA,0536687231,___-__-__-__,,l'Oriental,Oujda Angad,Oujda (M)
EL ASSI,0,"BD. ALLAL EL FASSI, LOT. EL ASSI -N°32",OUJDA,0536686576,___-__-__-__,el.assi1@caramail.com,l'Oriental,Oujda Angad,Oujda (M)
Achorouk,0,362 _ Lot. Al Amira-  Kondissa . Fnidq,FNIDEQ,0539675326,0539675326,nejjari_88@yahoo.com,Tanger - Tetouan,M'diq Fnidaq,Fnidq (M)
Oum Al Kora 2,0,"Quartier Sidi Talha, Rue Ali Ben Abi Talib N° 40 -TETOUAN",Tetouan,0539713336,___-__-__-__,oumlkora2@menara.ma,Tanger - Tetouan,Tetouan,Tetouan (M)
Groupe Scolaire LE Saphir,0,"Rue Mohamed Daoud, Zankat Dimachk N° 74 - Tetouan",Tetouan,0539993486,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
fatima zahra,0,"N° 68, Rue nil, Hay Al massira",Berkane,0661164184,___-__-__-__,,l'Oriental,Berkane,Berkane (M)
El Manbaa,0,Tarmilate - C.R. Oulmes,Khemisset,0661829283,___-__-__-__,elmanbaa@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Khemisset,Oulmes
Al Maarifa Wa Attanouir 1,0,"Secteur 4, N° 69, Av. Moulay Ali Cherif - C.U. Temara",Temara,0537600131,0537600131,mmwa@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Mahd Al Maarifa,0,"N° 151, Lot. Rouwayd, Hay El Farah - C.U. Hssaine",Salé,037-83-04-25,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Hssaine (AR)
Hirae,,"Rue Al Massira, Secteur 7, Hay El Wahda - C.U. Hssaine",Salé,_37-82-87-87,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Hssaine (AR)
El Nour,0,"Rue Sidi Belyout, Hay El Baraka - C.U. Hssaine",Salé,0672513481,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Hssaine (AR)
Les Iris,0,"Bloc H, Cité Al Houda - C.U. Agadir",Agadir,0528320909,0528320910,les-iris@hotmail.fr,Sous - Massa - Draa,Agadir Ida Outanane,Agadir (M)
AL Imam Al Kastalani 2,0,Cité Essalam  Place des Taxis  AGADIR,AGADIR ,048-22-67-04,048-22-67-05,iik@iam.net.ma,Sous - Massa - Draa,Agadir Ida Outanane,Agadir (M)
El Khalid,0,"N° 179, Hay Ibn Tachfin, Azli - C.U. Menara",Marrakech,024-49-10-75,024-49-10-75,elkhalidschool@menara.ma,Marrakech - Tensift - Al Haouz,Marrakech,Ménara (AR)
La Fontaine,0,"Lot. Masmoudi, Hay Targa N° 123 - C.U. Menara",Marrakech,0524495555,___-__-__-__,ecole_lafontaine@yahoo.fr,Marrakech - Tensift - Al Haouz,Marrakech,Ménara (AR)
Al ILM  WaL imane,0,"Amal 6, N° 15, Hay Fath C.Y.M. - C.U. Yacoub El Mansour",Rabat,0537292936,0537290073,alilmwalimane@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Adam,0,"N° 3, Lot. Chbanat, C.Y.M. - C.U. Yacoub El Mansour",Rabat,0537791819,___-__-__-__,EDIRECTEUR@YAHOO.FR,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Al Awail,0,"N° 230 Bis, Hay El Fath - C.U. Yacoub El Mansour",Rabat,0537796565,0537799528,alawailbelkabir@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Madaris Al Akssa,0,"N° 22, Hay Erraha, Nahda 4 - C.U. El Youssoufia",Rabat,0537759977,___-__-__-__,alakssa-@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Ohoud,0,"A 18, Cooperative Ouhoud, Guich Oudaya - C.U. Adgal Riyad",Rabat,037-56-03-44,037-56-16-44,guessabiohoud@hotmail.com,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Préférence,0,"N° 5,6,7, Hay Mimosa Ville Nouvelle  ",Meknès,0535510251,0535510263,Lapréférence@Ménara.ma,Meknès - Tafilalet,Meknes,Al Ismailia (M)
 SESAME GROUPE  SCOLAIRE,0,"N° 268, Boulevard Ahmed Benchekroun, Bassatine - C.U. Hamrya",Meknès,0535501529,___-__-__-__,makalima @menara.ma,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Ikrae 2,0,33 lot al youmn b m o meknes,Meknès,035-52-33-69,___-__-__-__,ikrae1@yahoo.fr,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Jil Talaia Al Ghad,0, N° 8 Avenue Allal El Fassi Belair,Meknès,0535526095,0535526095,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
BADRAT EMILE,0,"N° 70, Lot. Baladia Lacienda - C.U. Hamrya",Meknès,0660106445,___-__-__-__,contact@groupescolaire-emile.com,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Babel,0,Fassia Mabrouka Lacienda - C.U. Hamrya,Meknès,035-513-183,___-__-__-__,-,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Amal 3,, 26 ue kih en  Said A C Meknes,Meknès,___-__-__-__,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
MANARAT Al IRFANE,0,"N° 2, Rue Yasmine, Quartier Hopital - C.U. Asfi Boudheb",Safi,024-62-06-52,___-__-__-__,manarat al irfane@hotmail,Doukala - Abda,Safi,Asfi (M)
Collège Des Champions (G.S. Azhari),0,N° 11.15 rue lamek ville nouvelle,Safi,024 46 16 16,024611083,ges@menara.ma,Doukala - Abda,Safi,Asfi (M)
Et. Afak de l'Education et de l'Enseignement,,"N° 23, Quartier Laghdir - C.U. Youssoufia",Safi,___-__-__-__,___-__-__-__,,Doukala - Abda,Youssoufia,Youssoufia (M)
Les Etoiles,0,Lot. El Maghrib Al Arabi - C.U. Kenitra Maamoura,Kenitra,0537373910,0537373918,,Gharb - Chrarda - Beni Hssen,Kenitra,Kenitra (M)
Paradis D'Enfants,, Rue Lahssen ounasser Lot 498. Bir Rami Est - C.U.  Maamoura,Kenitra,037-37-57-96,___-__-__-__,,Gharb - Chrarda - Beni Hssen,Kenitra,Kenitra (M)
ALHadata,0,"Hay Essalam, Bloc 27 N° 9 - C.U. Sidi Slimane",Sidi slimane,0537500704,___-__-__-__,Alhadata@gmail.fr,Gharb - Chrarda - Beni Hssen,Sidi slimane,Sidi Slimane (M)
Groupe scolaire l Horizon (ex Arc-En-Ciel),0,"Rue Touhami Ben Chahed, Lalla Zawawa - C.U. Ouezzane",Ouezzane,037-90-81-41,___-__-__-__,gs.lhorizon@gmail.com,Tanger - Tetouan,Ouezzane,Ouezzane (M)
Al Mostakbal,,"N° 9, Hay Al Bahia - C.U. Sidi KAcem",Sidi Kacem,037-59-03-99,___-__-__-__,,Gharb - Chrarda - Beni Hssen,Sidi Kacem,Sidi kacem (M)
La Polaire,0,Lotissement Les Poiries N° 123,Ben Slimane,023-29-79-07,023-29-79-07,ecole.lapolaire123@yahoo.fr,Chaouia - Ourdigha,Benslimane,Ben Slimane (M)
Ennor prive,0,Bd. Bir Anzarane ,Ben Slimane,023-29-78-30,023-29-78-30,,Chaouia - Ourdigha,Benslimane,Ben Slimane (M)
Ecole Privé Al Manar,0,N° 34  saadia Tiznit,Tiznit,028-86-66-60,028-86-66-60,"ecolealmanar  à hotmail,com",Sous - Massa - Draa,Tiznit,Tiznit (M)
Groupe  Pédagogique Tilila,0,Rue Walili  Quartier Afrag  Tiznit,Tiznit,028-60-10-63,028-60-10-63,tilila_institution@hotmail.com,Sous - Massa - Draa,Tiznit,Tiznit (M)
Aristau,0,"N° 8 et 8, Lot. Nizar - C.U. Beni Mellal",Beni Mellal,023-48-07-16,023-48-09-01,aristote@menara.ma,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Safir Alqalam,0,"Rue 5, Hay Al Adarissa.N°6 - C.U. Beni Mellal",Beni Mellal,023-48-62-83,023-48-50-09,SAFIRALQALAM@yahoo.fr,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Yahya Razi,,"Hay Zaytoune, Lotissement El Fadl - C.U. Beni Mellal",Beni Mellal,023-48-93-87,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Abou Hamed El Ghazali 1,0,"N° 7, Hay Chrif - C.U. beni Mellal",Beni Mellal,023-43-42-03,___-__-__-__,belhajam@hotmail.fr,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
El Manbae,,"Villa 29, Lotissement Ezzohour - C.U. Fquih Ben Salah",Fquih Ben Salah,023-43-11-66,___-__-__-__,,Tadla - Azilal,Fkih ben salah,Fquih Ben Salah (M)
La Fontaine,0,Bd. Allal Ben Abdellah -  Fquih Ben Salah,Fquih Ben Salah,023-43-42-03,023-43-12-17,institutionlafontaine@yahoo.fr,Tadla - Azilal,Fkih ben salah,Fquih Ben Salah (M)
En-naourasse,,"Hay Ziz, Route Khouribga - C.U. Fquih Ben Salah",Fquih Ben Salah,023-43-11-66,___-__-__-__,,Tadla - Azilal,Fkih ben salah,Fquih Ben Salah (M)
Hatem Tai,,"N° 187, Hay Pam - C.U. Kasba Tadla",Kasba Tadla,067-19-15-15,___-__-__-__,,Tadla - Azilal,Beni Mellal,Kasba Tadla (M)
Fadwa,0,"177,Bd. Mohamed V - C.U. Souk Sebt Ouled Nemma",Souk Sebt,066-88-28-84,___-__-__-__,azzeddine-enna@hotmail.fr,Tadla - Azilal,Fkih ben salah,Souk Sebt Ouled Nemma (M)
Lalla Maryem,0,"Lotissement Eddaoudia, Av. Principale, Lot. N° 88 - C.U. Bni Mak",Tanger,0539951806,___-__-__-__,,Tanger - Tetouan,Tanger Assilah,Bni Makada (AR)
SocratE,0,KM 1 ROUTE DE TETOUAN N°32 TANGER,Tanger,0539958212,0539958213,institutionsocrate@yahoo.fr,Tanger - Tetouan,Tanger Assilah,Charf_Mghogha (AR)
Amana Wa Charaf,0,"Hay Errahma N° 19, Rue 22 -  My Rachid",Casablanca,022-72-60-85,___-__-__-__,amanawacharaf1@hotmail.fr,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
El Kadissia,0,"Hay Errahma, Lot. N° 514 -  My Rachid",Casablanca,022-71-12-31,___-__-__-__,ecolealkadissia@yahoo.com,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
SKALI,0,"90,Amal 2,Tit Mellil",tit mellil,0522331774,,ecoleskali@gmail.com,Grand Casablanca,Mediouna,Tit Mellil (M)
HATIM 2,0, Av NICE.N 408.BOURGONE   ANFA CASA, casablanca,022-91-45-24,___-__-__-__,,Grand Casablanca,Casablanca Anfa,Anfa (AR)
EL AFAK,0, 94 Boulevard 2 Mars Maarif Casablanca, Casablabca,022-86-36-31,___-__-__-__,,Grand Casablanca,Casablanca Anfa,El Maarif (AR)
EL MAHD ,0,"lotissement el fath route azzemour N42 anfa, casa", casablanca,022943848,022942848,ecolelmahd2007@live.fr,Grand Casablanca,Casablanca Anfa,Anfa (AR)
Charaf Eddine,0,Rue El Khawerizmi 1817 N° 5 -C.U. Dcheira El Jihadia,Dcheira,052827-31-87,___-__-__-__,CHARAF_eddine@hotmail.com,Sous - Massa - Draa,Inzegane Ait Melloul,Dcheira El Jihadia (M)
Ecole Privée Iqraa,0,"N° 122, Bloc H Rue Zag Massira - C.U. Khouribga",Khouribga,0523560762,0523499824,iqraa.khouribga@hotmail.fr,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Ezzahra,0,Commune Hssaine Près du Souk Lakhmiss,Salé,0662261544,___-__-__-__,**,Rabat - Salé - Zemmour - Zaer,Salé,Hssaine (AR)
Al Bichara,0,Rue 19 N° 653 Hay Al Irchad - C.U. Kenitra Saknia,Kenitra,0537381891,0537381891,ETS.aLBICHARA_KENITRA@hotmail.com,Gharb - Chrarda - Beni Hssen,Kenitra,Kenitra (M)
Jardin d'Enfants Al Janna,,"N° 5, Rue 405 Essafa - C.U. El Jadida",El Jadida,___-__-__-__,___-__-__-__,,Doukala - Abda,El Jadida,El Jadida (M)
Groupe Scolaire Al Yakada,0,AVENUE IBNOU BADISSCHATEAU D EAU, EL JADIDA,023350303,___-__-__-__,,Doukala - Abda,El Jadida,El Jadida (M)
ETABLISSEMENT SCOLAIRE SLIMANI,0,BOULVARD DES FAR Lotissement slimani ,Sidi bennour,023369416,023369408,,Doukala - Abda,El Jadida,El Jadida (M)
Les Iris,0, Lotissement Mabrouka - Lot A - Akioud, Marrakech,0524433369,0524433369,lesiris200@menara.ma,Marrakech - Tensift - Al Haouz,Marrakech,Gueliz (AR)
Chorouq,0,"N° 39, Lotissement Siham, Californie - C.U. Ain Chock",Casablanca,022-50-78-50,___-__-__-__,IC.CALIFORNIE@GMAIL.COM,Grand Casablanca,Ain Chok,Ain Chock (AR)
Firdaous Ennour,0,"Lotissement Salima,Rue3,N°5 - C.U. Ain Chock",Casablanca,022-21-38-98,022-21-38-98,nour09@menara.ma,Grand Casablanca,Ain Chok,Ain Chock (AR)
Boudour,0,"Rue 9, N° 13, Lotissement vermount - C.U. Ain Chock",Casablanca,022-21-14-69,___-__-__-__,,Grand Casablanca,Ain Chok,Ain Chock (AR)
Les Poussins d'or,,Bd. Mohamed VI - C.U. Ain Chock,Casablanca,022-50-23-60,___-__-__-__,,Grand Casablanca,Ain Chok,Ain Chock (AR)
Institut Afak almostakbal Privé,0,"N° 68, Lotissement Essafa, El Oulfa ",Casablanca,0522892639,___-__-__-__,ALMOSTAKBAL -12@MENARA.MA,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
COURS SUBRINI OULFA 2,1,"Rue 19, N° 26, Hay Missimi, El Pulfa - C.U. Hay Hassani",Casablanca,022 91 16 13,022 89 24 04,cso@menara.ma,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
Ghafiri 2 Privé,0,"Bd. Moulouya, N° 82 , El Oulfa - C.U. Hay Hassani",Casablanca,0522892587,0522897468,ghafiri@menara.ma,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
Institut Al Mitak Privé,0,Lotissement El Kerya Namoudajia N° 34 - C.U. Dar Bouazza,Casablanca,022290479,___-__-__-__,ecolealmithak@menara.ma,Grand Casablanca,Nouaceur,Dar Bouazza (M)
Sanaa 2 Privé,0,"El Oulfa N° 10  RUE50 GROUPE ""U"" - .  Hay Hassani",Casablanca,022895240,022908238,GSSANAA@HOTMAIL.COM,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
Groupe Scolaire El Amjad Privé,0,Lotissement Al Khawarizmi - C.U. Lissasfa,Casablanca,022 93 29 12,0522892880,alamjad2010@live.fr,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
Groupe Scolaire attawassol,0,"Hay Elaymoun, Lot. N° 93 - C.U. Lissasfa",Casablanca,022 90 38 27,___-__-__-__,attawassol93@hotmail.com         ,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
Institution El Kannouni Privé,,"Lotissement Ennasim, N° 412 - C.U. Lissasfa",Casablanca,022892409,___-__-__-__,,Grand Casablanca,Hay Hassani,Hay Hassani (AR)
Bouchra,0,"Lotissement Bouchra,Rue3 N° 43  Sidi Maarouf",Casablanca,022-97-36-24,___-__-__-__,,Grand Casablanca,Ain Chok,Ain Chock (AR)
Al Adarissa Chorafaa,,"Lotissement Al Adarissa, N° 128 - C.U. Sidi Maarouf",Casablanca,022-97-55-46,___-__-__-__,,Grand Casablanca,Ain Chok,Ain Chock (AR)
Addoha,0,"N° 28, Hay Oued Al Makhazine ",Mohammedia,0523303024,___-__-__-__,,Grand Casablanca,Mohammadia,Mohammadia (M)
Yatrib,0,Bd. Yaacoub Al Mansour,Mohammedia,0523329911,0523329912,Yatrib@hotmail.com,Grand Casablanca,Mohammadia,Mohammadia (M)
Groupe Scolaire VIVALDI,0,"Bd. Hassan II,  La Siesta N° 1",Mohammedia,0523323223,0523325275,GAlilee.viVALDI@yahoo.fr,Grand Casablanca,Mohammadia,Mohammadia (M)
Inara,0,"Inara  III, N° 49 - 51 - 52    Alia",Mohammedia,0523282230,___-__-__-__,farmi2000@yahoo.com,Grand Casablanca,Mohammadia,Mohammadia (M)
GROUPE SCOLAIRE EL ANBAR,0,"Hay Al Qods, Groupe Zenata 2, N° 352,353,354 - C.U. Sidi Bernoussi",Casablanca,0522768406,___-__-__-__,yjarek@menara.ma,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
El Kholafaa Priveé,0,"Lotissement Al Otour, Rue 5, N° 3 - C. U. Sidi Moumen",Casablanca,022724559,___-__-__-__,,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
groupe scolaire al hadika,0,"Lotissement Hadika, Rue 17, N° 23 - C.U. Sidi Moumen",Casablanca,0522724440,___-__-__-__,AL.HADIKA@live.fr,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
Majd Essalame Privé,0,"Lotissement Al Hadika, Rue 7, N° 24 - C.U. Sidi Moumen",Casablanca,0522729696,0522729697,groupe-essalam@ifrance.com,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
Ecole AL-FOURAT,0,"Lotissement Al Hadika 1, Rue 2, N°48 - C.U. Sidi Moumen",Casablanca,022716474,,ecole.alfourat@gmail.com,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
MAARIF Al Infitah,0,"Hay Lala Meriam 2, N° 8 & 9 - C.U. Sidi Moumen",Casablanca,0522710710,___-__-__-__,BONES_sou@msn.fr,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
Itihad Junior,,Lot. Camelia N° 06 - C.U. Ain Sebaa,Casablanca,022-66-07-69,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
la petite maison,0,"Hay Al Massira, Imm. 23, N° 01-02 - C.U. Assoukhour Assawda",Casablanca,0522608951,___-__-__-__,petieemaison2010@live.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
Al Manahil,0,"Bd. Attine, N0 49 - C. U. Ain Sebaa",Casablanca,022-66-42-92,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Ferdaous Lavillette,,"N° 31, Rue Assti Lavillette - C. U. Assoukhour Assawda",Casablanca,022629731,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
Anisse,0,"N° 09, Lot. Alfal, Bd. Chefchaouni - C. U; Ain Sebaa",Casablanca,0522663402,0522674579,AMINE.AZZOUZI@lyceeanisse.org,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Ecole Lilage,,"N° 30, Rue 4, Passage Lilage - C. U. Sidi Moumen",Casablanca,022-72-89-37,___-__-__-__,,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
Zoubair,0,"N° 70, Jnane Chdid, Sidi Boujida - C.U. Fès Medina",FES,0535760866,0535760866,ETSZOUBAIR@MENARA.MA,Fès - Boulmane,Fès,Fes Medina (AR)
Al Assala,0,"N° 4, Derb Essahel Klaklyeene - C.U. Fès Medina",FES,0679349979,,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Fes Medina (AR)
