Nom Etablissement,Adresse,Ville,Téléphone,FAX,EMAIL,Nature,Cycle d'enseignement,Région,Province,Commune
ahmed othmane bendella idrissi,MEHDIA KESBA COM MEHDIA,MEHDIA,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mehdya (M)
IMAM EL GHAZALI,AVENUE MOHAMED V SIDI YAHYA,SIDI YAHIA,-  -  -,-  -  -,NULL,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Sidi Yahia El Gharb (M)
BASE AERIENNE SIDI YAHIA,BASE AERIENNE SIDI YAHIA,SIDI YAHIA,661729516,-  -  -,MOHAMMED.AISSATENE@taalim.ma,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ameur chamalia
OUED EDDAHAB,DOUAR SBIH   COM/ MNAESRA,kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mnasra
OULED BERJAL,DOUAR OULED BERJAL COM MNASRA,kenitra,661806057,-  -  -,...,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mnasra
S/S  LAMNASRA  LAANABSA,DOUAR LAANABSA COMMUNE MNASRA,MNASRA,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mnasra
LAAMIMIYINE,DOUAR LAAMIMIYINE COMMUNE LAMNASRA,KENITRA,0661804987--,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mnasra
OULED LAARBI,DOUAR OULED LAARBI COMMUNE LAMNASRA,KENITRA,666196757,-  -  -,larbi.sabaa@gmail,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mnasra
OULED ZIANE,OULED ZIANE BENMANSOUR,benmansour,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Mohamed Benmansour
OULED BENZIANE,DOUAR OULED BENZIANE COMMUNE BENMANSOUR,BENMANSOUR,661879659,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ben Mansour
S/S  OULED MHAMED,DOUAR OULED MHAMED CENTRE COMMUNE BENMANSOUR,BENMANSOUR,661809526,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ben Mansour
MAACHATE,DOUAR MAACHATE   COMMUNE BENMANSOUR,BENMANSOUR,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ben Mansour
ELHACHMI ELBAHRAOUI  OULED MILOUD,DOUAR OULED MILOUD COMMUNE BENMANSOUR,Région KENITRA,661877042,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ben Mansour
 OULED HAMMOU      BENMANSOUR,DOUAR OULED HAMMOU COMMUNE sidi mhamed BENMANSOUR,kenitra,661884679,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Mohamed Benmansour
ERRIAH LBAHRIA,DOUAR ERRIAH LBAHRIA,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Mohamed Benmansour
SIDI TAIBI 1,SIDI TAIBI CENTRE   COMMUNE SIDI TAIBI,,-  -  -,-  -  -,MOSTAFA.AJEMAA@taalim.ma,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Taibi
OULED MOUSSA,DOUAR OULED MOUSSA   COMMUNE SIDI TAIBI,kenitra,661880548,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Taibi
OULED TALEB,DOUAR OULED TALEB    COMMUNE SIDI TAIBI,KENITRA,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Taibi
AIN  ARISS,AIN AARIS CENTRE     COMMUNE HADDADA,KENITRA,661804619,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Haddada
MECHREAA EL KETTANE,DOUAR MECHREAA EL KETTANE  COMMUNE HADDADA,ELAHOUAZ,661807705,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Haddada
ABDLLATIF IMANI,DOUAR OULED BOURAHMA COMMUNE AMEUR SAFLIA,AMEUR SAFLIA,661748559,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ameur Seflia
ERRKABI,DOUAR ERRKABI  COMMUNE AMEUR SAFLIA,ELAHOUAZ,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ameur Seflia
SIDI BEN DAOUD,DOUAR SIDI BEN DAOUD AMEUR SAFLIA,kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ameur Seflia
OULED HMOUDOU,DOUAR OULED HMOUDOU COMMUNE AMEUR SAFLIA,sidiyahya,661740643,-  -  -,amarat_hassan@hotmail.fr,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ameur Seflia
ZHANA SIDI YAHYA,DOUAR ZHANA COMMUNE AMEUR SAFLIA,,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ameur chamalia
ELMANSOUR EDDEHBI OULED BELAID,DOUAR OULED BELAID  COMMUNE  AMEUR SAFLIA,sidi yahia gharb,661753714,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ameur chamalia
BNI FDAL,DOUAR BNI FDAL AMEUR SAFLIA,SIDI YAHYA DU GHARB,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ameur chamalia
ELHAFARI,DOUAR LAHFARI CENTRE  COMMUNE AMEUR SAFLIA,ELAHOUAZ,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ameur chamalia
ABI TAMMAM,DOUAR SIDI AYACHE CENTRE COMMUNE OULED SLAMA,kenitra,06-61768404,-  -  -,ZAKI BOUCHAIB TAALIM MA,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ouled Slama
LAHMASSIS,DOUAR LAHMASSIS COMMUNE OULAD SLAMA,Kénitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ouled Slama
LAAKARCHA,DOUAR LAAKARCHA COMMUNE OULAD SLAMA,,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Ouled Slama
EL BGHAILIA,DOUAR LABGHAILIYA COMMUNE ELMAGRENE,ELAHOUAZ,0661749496-,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mograne
OULED HSSEIN S/S TAWASSOL,DOUAR OULED HSSEIN COMMUNE AL MAGRENE,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mograne
MOGRANE,MOGRANE CENTRE,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mograne
HASSAN BNOU TABET - OULED AMEUR,DOUAR OULED AMEUR COMMUNE MAGRENE,Kénitra,-  -  -,-  -  -,medmed1904@hotmail.fr,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mograne
ZAITRATE,DOUAR KARIAT LAAMAMRA ZAAITRATE,KENITRA,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mograne
OULED BEL KHeIR,DOUAR OULED BELKHEIR ct mougranne,Kenitra,661743068,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Mograne
SS ELHAMMA  OULED BOUTABET,DOUAR OULED BOUTABET COMMUNE OULED BEN HAMMADI,SIDI SLIMANE,661724988,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ouled ben Hammadi
SS BOUMAIZ  JBIRATE,DOUAR JBIRATE  COMMUNE OULAD BEN HAMMADI,sidi slimane,661725127,-  -  -,hamids123@HOTMAIL.fr,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ouled ben Hammadi
HJAOUA,DOUAR HJAOUA COMMUNE OULAD BEN HAMMADI,sidi slimane,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ouled ben Hammadi
OULED BELAID,DOUAR OULED BELAID COMMUNE OULED BENHAMMADI,SIDI SLIMANE,661725481,-  -  -,torchi.mohammed@taalim.ma,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ouled ben Hammadi
  TOUIRFA,DOUAR OULED BERROUSSE  COMMUNE BOUMAIZ,sidi slimane,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Boumaiz
OULED MOUSSA BEN HSSAINE,DOUAR OULED MOUSSA BEN HSSEIN COMMUNE BOUMAIZ,SIDI SLIMANE,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Boumaiz
abdellah ibn zobair,DOUAR JBIRATE COMMUNE BOUMAIZ,SIDI SLIMANE,-  -  -,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Sidi Slimane (M)
SS OMAR BNOU ABDELAZIZ LAMRADSA,DOUAR LAMRADSA,sidi slimane,661767245,-  -  -,s.s omar ibn abdelaziz@gmail.com,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Sfafaa
DOUAGHR BAHT,DOUAR DOUAGHER BAHT,SIDI SLIMANE,661773299,-  -  -,ssdouagharbaht35@hotmail.com,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Sfafaa
OULED HANNOUNE ELOUAD,DOUAR OULED HANNOUNE KCEIBIA,SIDI SLIMANE,661757974,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Kceibya
LALA YATTOU,DOUAR LALLA YATTOU  COMMUNE KCEIBIA,sidi slimane,661748892,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Kceibya
SS DAIT AICHA,DOUAR DAIT AICHA KCEIBIA,Kenitra,661792537,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Kceibya
SS CHIBANE,DOUAR CHIBANE KCEIBIA,Kenitra,661754073,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Kceibya
ZAABLA,DOUAR ZAABLA  KCEIBIA,sidi slimane,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Kceibya
COOPERATIVE ATTAWZIE,COOPERATIVE ATTAWZIE AZGHAR DIFAA1 dar belAmri,Sidi Slimane,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Azghar
OULED YOUSSEF,DOUAR OULED YOUSSEF  AZGHAR,sidi slimane,661774865,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Azghar
SS ATTESSANE,DOUAR ATTISSANE   AZGHAR,SIDI SLIMANE,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Azghar
ss dar belamri  ,DOUAR LAAWAWDA     DAR BELAMRI,sdi slimane,661775625,-  -  -,ss.darbelamri@gmail.com,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Dar bel Amri
ZHANA,DOUAR ZHANA,sidi  slimane,-  -  -,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Sidi Slimane (M)
EL HIMRIYINE,DOUAR EL HIMRIYINE     DAR BELAMRI,sidi slimane,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Dar bel Amri
OTHMANE IBN AFFANE,ROUTE KHMISSATE DAR BEL AMRI,Kenitra,-661722569,-  - 0 -,0,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Dar bel Amri
SS 2 MARS  HAWECH SIDI GADDAR,HAWECH SIDI GADDAR COMMUNE M SSAADA,sidi slimane,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,M'Saada
BEGGARA,DOUAR BEGGARA  COMMUNE MSAADA,SIDI SLIMANE,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,M'Saada
ETTORCHANE,DOUAR ETTORCHANE,sidi slimane,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,M'Saada
TIHLI,DOUAR TIHLI     COM   OULED HSSINE,SIDI SLIMANE,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ouled H'Cine
SS LAABIYATE,DOUAR LAABIYATE,SIDI SLIMANE,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ouled H'Cine
SS OULED OKBA,DOUAR OULED OKBA  COMMUNE OULED HCINE,cercl sidi slimane,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ouled H'Cine
SIDI ABDELAZIZ  JDIYATE,DOUAR JDIYATE,SIDI SLIMANE,-  -  -,-  -  -,timi0007@hotmail.com,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Sidi slimane,Ouled H'Cine
S/S LAAYAYDA,DOUAR LAAYAYDA ARBAOUA,arbaoua,661734197,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Arbaoua
EL BAROUDI,ARBAOUA CENTRE,souk larbaa,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Arbaoua
RZIGATE,DOUAR RZIGATE,Kenitra,661705086,-  -  -,mohamed.ouberkane@taalim.ma,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Arbaoua
S/S YOUSSEF BNOU TACHAFINE  CHKADFA,DOUAR chkadfa,souk arbia de gharb,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Arbaoua
LAKHDADRA,DOUAR LAKHDADRA  COMMUNE ARBAOUA,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Arbaoua
LAHRIDIYINE,DOUAR LHRAIDIYINE,arbaoua,661701185,-  -  -,ELGRIDA-MOSTAFA@HOTMAIL.FR,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Arbaoua
S/S DRESSA,DOUAR DRESSA,Kenitra,661720170,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Arbaoua
ZAOUYA,DOUAR ZAOUYA  COM  OUED EL MAKHAZINE,,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Oued El Makhazine
KETAMA,DOUAR KETAMA COM OUED EL MAKHAZINE,arbaoua,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Oued El Makhazine
KARIAT BEN AOUDA,KARIATE BEN AOUDA CENTRE,Kenitra,661172842,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Kariat ben Aouda
EL FOKRA,DOUAR EL FOKRA,Kenitra,661710388,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Kariat ben Aouda
TADDANA,DOUAR TADDANA,kariat ben aouda,661744358,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Kariat ben Aouda
 OULED KACEM,DOUAR OULED KACEM   COM//BENI MALEK CENTRE,ouled kacem,661794486,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Beni Malek
LBAABCHA,DOUAR LABAABCHA    COM/   BENI MALEK,,661749124,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Beni Malek
AIN TIHLI,DOUAR  AIN TIHLI COM/ BENI MALEK,beni malek,661814089,-  -  -,-,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Beni Malek
JBEL DAL,DOUAR JBEL DAL,Kenitra,661784812,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Beni Malek
OULED BEN SBAA,OULED BEN SBAA  ,,-  -  -,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Souk El Arbaa (M)
OULED ZIARE,DOUAR OULED ZIARE     COMMUNE BNI MALEK,SOUK ARBAA DU GHARBE,661856936,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Beni Malek
CHKAKFA,CHKAKFA CENTRE  COMMUNE ALLAL TAZI,Kenitra,661721973,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Allal Tazi
CHTIKAT,DOUAR CHTIKAT COMMUNE ALLAL TAZI,sidi allal tazi,661718567,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Allal Tazi
MOKNASSAT,DOUAR MOUKNASSAT,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Allal Tazi
ALMANFALOUTI,COMMUNE SOUK TLET EL GHARB,kenitra,661721416,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Souk Tlet El Gharb
S/S LAMAADGA,DOUAR LAMAADGA,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Souk Tlet El Gharb
OULED ABDELLAH,DOUAR OULED ABDELLAH COM/SK TLET GHARB,sk laarba du gharb,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Souk Tlet El Gharb
HRED,DOUAR HRED COMMUNE SOUK TLET du gharb,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Souk Tlet El Gharb
ENNJAJAA, SOUK TLET  DU GHARB,,661702197,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Souk Tlet El Gharb
OULED MOUSSA BAHHARA,OULED MOUSSA,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Bahhara ouled Ayad
S/S HSINATE,DOUAR HSSINATE,Kenitra,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Bahhara ouled Ayad
GNAFDA,DOUAR LAGNAFDA COMMUNE BAHHARA OULED AYYAD,,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Bahhara ouled Ayad
S/S OULED MESBAH ROUIF,DOUAR OULED MESBAH ROUIF,Kenitra,661734746,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Bahhara ouled Ayad
SIDI MOHAMED LAHMER,SIDI MOHAMED LAHMAR CENTRE,Kenitra,-  -  -,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Mohamed Lahmar
S/S ENNAJAH OULED ABDELLAH,DOUAR OULED ABDELLAH,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Mohamed Lahmar
TAAOUNIAT,DOUAR TAAOUNIYATE,Kenitra,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Mohamed Lahmar
KARIATE DAOUIA,KARIATE DAOUIA  COM SIDI MD LAHMAR,,0661749063  ,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Mohamed Lahmar
LAFKARNA,DOUAR LAFKARNA,Kenitra,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Mohamed Lahmar
LAMOUAOUKA,DOUAR LAMWAWKA   COMMUNE MOHAMMED LAHMER,,661750788,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Sidi Mohamed Lahmar
MOULAY BOUSSELHAM,MOULAY BOUSSELHAM CENTRE,MOULAY BOUSSELHAM,661795231,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Moulay bousselham
RIAH,DOUAR RIAH  MY BOUSELHAM,MOULAY BOUSSELHAM,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Moulay bousselham
S/S COOPERATIVE ENNASR,COOPERATIVE ENNASR,Kenitra,-  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Moulay bousselham
MACHRA HDER,DOUAR     DLALHA,Moulay bousselham,661754162,-  -  -,gannour58@hotmail.ma,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Gharb - Chrarda - Beni Hssen,Kenitra,Moulay bousselham
